yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB8C6I	Entry	Metal binding	Keywords	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Developmental stage	Interacts with	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Cross-reference (BioGrid)	Cross-reference (KEGG)	Cross-reference (EcoGene)	yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB644J
yqjE	P64585		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 55 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 77 83 Periplasmic. {ECO:0000255}.; TOPO_DOM 105 134 Cytoplasmic. {ECO:0000255}.	TRANSMEM 56 76 Helical. {ECO:0000255}.; TRANSMEM 84 104 Helical. {ECO:0000255}.	4262412;	ecj:JW3070;eco:b3099;	EG12744;	
yqjK	Q47710		Complete proteome;Reference proteome		cytosol [GO:0005829]	cytosol [GO:0005829]		GO:0005829							4259659;	ecj:JW3071;eco:b3100;	EG14314;	
yqjG	P42620		3D-structure;Complete proteome;Oxidoreductase;Reference proteome			glutathione transferase activity [GO:0004364]; oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor [GO:0016672]	glutathione transferase activity [GO:0004364]; oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor [GO:0016672]	GO:0004364; GO:0016672							4260937;	ecj:JW3073;eco:b3102;	EG12746;	
yhaH	P64590		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 23 Periplasmic. {ECO:0000255}.; TOPO_DOM 45 49 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 71 80 Periplasmic. {ECO:0000255}.; TOPO_DOM 102 121 Cytoplasmic. {ECO:0000255}.	TRANSMEM 24 44 Helical. {ECO:0000255}.; TRANSMEM 50 70 Helical. {ECO:0000255}.; TRANSMEM 81 101 Helical. {ECO:0000255}.	4260936;	ecj:JW3074;eco:b3103;	EG12747;	
tdcE	P42632		Acyltransferase;Complete proteome;Cytoplasm;Organic radical;Reference proteome;Transferase	carbohydrate metabolic process [GO:0005975]; L-threonine catabolic process to propionate [GO:0070689]; threonine catabolic process [GO:0006567]	cytoplasm [GO:0005737]; membrane [GO:0016020]	cytoplasm [GO:0005737]; membrane [GO:0016020]; 2-ketobutyrate formate-lyase activity [GO:0043875]; formate C-acetyltransferase activity [GO:0008861]; carbohydrate metabolic process [GO:0005975]; L-threonine catabolic process to propionate [GO:0070689]; threonine catabolic process [GO:0006567]	2-ketobutyrate formate-lyase activity [GO:0043875]; formate C-acetyltransferase activity [GO:0008861]	GO:0005737; GO:0005975; GO:0006567; GO:0008861; GO:0016020; GO:0043875; GO:0070689				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.			4262415;	ecj:JW5522;eco:b3114;	EG12758;	
tdcD	P11868	METAL 11 11 Magnesium. {ECO:0000255|HAMAP-Rule:MF_01881}.	ATP-binding;Complete proteome;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Transferase	anaerobic amino acid catabolic process [GO:0019665]; L-threonine catabolic process to propionate [GO:0070689]; threonine catabolic process [GO:0006567]		acetate kinase activity [GO:0008776]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; propionate kinase activity [GO:0008980]; anaerobic amino acid catabolic process [GO:0019665]; L-threonine catabolic process to propionate [GO:0070689]; threonine catabolic process [GO:0006567]	acetate kinase activity [GO:0008776]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; propionate kinase activity [GO:0008980]	GO:0005524; GO:0006567; GO:0008776; GO:0008980; GO:0019665; GO:0046872; GO:0070689		P37747					4262417;	ecj:JW5806;eco:b3115;	EG11172;	
tdcC	P0AAD8		Amino-acid transport;Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	amino acid transport [GO:0006865]; L-serine transport [GO:0015825]; threonine transport [GO:0015826]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; L-serine transmembrane transporter activity [GO:0015194]; L-threonine transmembrane transporter activity [GO:0015195]; solute:proton symporter activity [GO:0015295]; threonine efflux transmembrane transporter activity [GO:0015565]; amino acid transport [GO:0006865]; L-serine transport [GO:0015825]; threonine transport [GO:0015826]	L-serine transmembrane transporter activity [GO:0015194]; L-threonine transmembrane transporter activity [GO:0015195]; solute:proton symporter activity [GO:0015295]; threonine efflux transmembrane transporter activity [GO:0015565]	GO:0005886; GO:0005887; GO:0006865; GO:0015194; GO:0015195; GO:0015295; GO:0015565; GO:0015825; GO:0015826; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01583, ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01583, ECO:0000269|PubMed:15919996}.		TRANSMEM 22 42 Helical. {ECO:0000255|HAMAP-Rule:MF_01583}.; TRANSMEM 44 64 Helical. {ECO:0000255|HAMAP-Rule:MF_01583}.; TRANSMEM 97 117 Helical. {ECO:0000255|HAMAP-Rule:MF_01583}.; TRANSMEM 140 160 Helical. {ECO:0000255|HAMAP-Rule:MF_01583}.; TRANSMEM 163 183 Helical. {ECO:0000255|HAMAP-Rule:MF_01583}.; TRANSMEM 207 227 Helical. {ECO:0000255|HAMAP-Rule:MF_01583}.; TRANSMEM 261 281 Helical. {ECO:0000255|HAMAP-Rule:MF_01583}.; TRANSMEM 311 331 Helical. {ECO:0000255|HAMAP-Rule:MF_01583}.; TRANSMEM 366 386 Helical. {ECO:0000255|HAMAP-Rule:MF_01583}.; TRANSMEM 389 409 Helical. {ECO:0000255|HAMAP-Rule:MF_01583}.; TRANSMEM 423 443 Helical. {ECO:0000255|HAMAP-Rule:MF_01583}.	4262418;	ecj:JW3087;eco:b3116;	EG10991;	
tdcB	P0AGF6		Allosteric enzyme;Complete proteome;Direct protein sequencing;Lyase;Nucleotide-binding;Pyridoxal phosphate;Reference proteome	L-serine catabolic process [GO:0006565]; L-threonine catabolic process to propionate [GO:0070689]; threonine catabolic process [GO:0006567]	cytosol [GO:0005829]	cytosol [GO:0005829]; amino acid binding [GO:0016597]; L-serine ammonia-lyase activity [GO:0003941]; L-threonine ammonia-lyase activity [GO:0004794]; nucleotide binding [GO:0000166]; pyridoxal phosphate binding [GO:0030170]; threonine aldolase activity [GO:0004793]; L-serine catabolic process [GO:0006565]; L-threonine catabolic process to propionate [GO:0070689]; threonine catabolic process [GO:0006567]	amino acid binding [GO:0016597]; L-serine ammonia-lyase activity [GO:0003941]; L-threonine ammonia-lyase activity [GO:0004794]; nucleotide binding [GO:0000166]; pyridoxal phosphate binding [GO:0030170]; threonine aldolase activity [GO:0004793]	GO:0000166; GO:0003941; GO:0004793; GO:0004794; GO:0005829; GO:0006565; GO:0006567; GO:0016597; GO:0030170; GO:0070689							4262419;	ecj:JW3088;eco:b3117;	EG10990;	
prlF	P15373		Complete proteome;Cytoplasm;DNA-binding;Reference proteome;Repressor;Toxin-antitoxin system;Transcription;Transcription regulation	negative regulation of transcription, DNA-templated [GO:0045892]; regulation of cell growth [GO:0001558]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; toxin-antitoxin pair type II binding [GO:0097351]; negative regulation of transcription, DNA-templated [GO:0045892]; regulation of cell growth [GO:0001558]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; toxin-antitoxin pair type II binding [GO:0097351]	GO:0001558; GO:0003677; GO:0003700; GO:0005737; GO:0019899; GO:0042802; GO:0045892; GO:0097351				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.			4259492;	ecj:JW3098;eco:b3129;	EG10955;	
yraR	P45469		Complete proteome;Reference proteome			NAD binding [GO:0051287]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]	NAD binding [GO:0051287]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]	GO:0016620; GO:0051287							4259269;	ecj:JW5528;eco:b3152;	EG12783;	
yhbO	P45470		3D-structure;Complete proteome;Cytoplasm;DNA damage;DNA repair;Direct protein sequencing;Hydrolase;Reference proteome;Stress response	DNA repair [GO:0006281]; protein deglycosylation [GO:0006517]; protein repair [GO:0030091]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; response to pH [GO:0009268]; response to UV [GO:0009411]	cytosol [GO:0005829]	cytosol [GO:0005829]; glyoxalase III activity [GO:0019172]; hydrolase activity [GO:0016787]; identical protein binding [GO:0042802]; protein deglycase activity [GO:0036524]; DNA repair [GO:0006281]; protein deglycosylation [GO:0006517]; protein repair [GO:0030091]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; response to pH [GO:0009268]; response to UV [GO:0009411]	glyoxalase III activity [GO:0019172]; hydrolase activity [GO:0016787]; identical protein binding [GO:0042802]; protein deglycase activity [GO:0036524]	GO:0005829; GO:0006281; GO:0006517; GO:0006979; GO:0009268; GO:0009408; GO:0009411; GO:0016787; GO:0019172; GO:0030091; GO:0036524; GO:0042802				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:16380269}.			4259270;	ecj:JW5529;eco:b3153;	EG12784;	
yhbW	P0ADV5		Complete proteome;Oxidoreductase;Reference proteome		cytosol [GO:0005829]	cytosol [GO:0005829]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005829; GO:0016705							4259277;	ecj:JW3129;eco:b3160;	EG12792;	
argG	P0A6E4		3D-structure;ATP-binding;Amino-acid biosynthesis;Arginine biosynthesis;Complete proteome;Cytoplasm;Direct protein sequencing;Ligase;Nucleotide-binding;Reference proteome	arginine biosynthetic process [GO:0006526]	cytosol [GO:0005829]	cytosol [GO:0005829]; argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; arginine biosynthetic process [GO:0006526]	argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]	GO:0004055; GO:0005524; GO:0005829; GO:0006526; GO:0042802; GO:0042803		Itself; P24228		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.			4263121;	ecj:JW3140;eco:b3172;	EG10068;	
secG	P0AG99		3D-structure;Cell inner membrane;Cell membrane;Complete proteome;Direct protein sequencing;Membrane;Protein transport;Reference proteome;Translocation;Transmembrane;Transmembrane helix;Transport	intracellular protein transmembrane transport [GO:0065002]; intracellular protein transport [GO:0006886]; protein insertion into membrane from inner side [GO:0032978]; protein secretion [GO:0009306]; protein transport by the Sec complex [GO:0043952]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]	cell envelope Sec protein transport complex [GO:0031522]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	cell envelope Sec protein transport complex [GO:0031522]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; P-P-bond-hydrolysis-driven protein transmembrane transporter activity [GO:0015450]; protein transmembrane transporter activity [GO:0008320]; intracellular protein transmembrane transport [GO:0065002]; intracellular protein transport [GO:0006886]; protein insertion into membrane from inner side [GO:0032978]; protein secretion [GO:0009306]; protein transport by the Sec complex [GO:0043952]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]	P-P-bond-hydrolysis-driven protein transmembrane transporter activity [GO:0015450]; protein transmembrane transporter activity [GO:0008320]	GO:0005886; GO:0006616; GO:0006886; GO:0008320; GO:0009306; GO:0015450; GO:0016021; GO:0031522; GO:0032978; GO:0043952; GO:0065002		P10408; P0AGA2		SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 13 Periplasmic. {ECO:0000305|PubMed:15919996}.; TOPO_DOM 26 50 Cytoplasmic. {ECO:0000305|PubMed:15919996}.; TOPO_DOM 67 110 Periplasmic. {ECO:0000305|PubMed:15919996}.	TRANSMEM 14 25 Helical. {ECO:0000305}.; TRANSMEM 51 66 Helical. {ECO:0000305}.	4259584;	ecj:JW3142;eco:b3175;	EG12095;	
glmM	P31120	METAL 102 102 Magnesium; via phosphate group. {ECO:0000250}.; METAL 241 241 Magnesium. {ECO:0000250}.; METAL 243 243 Magnesium. {ECO:0000250}.; METAL 245 245 Magnesium. {ECO:0000250}.	Complete proteome;Direct protein sequencing;Isomerase;Magnesium;Metal-binding;Phosphoprotein;Reference proteome	carbohydrate metabolic process [GO:0005975]; protein autophosphorylation [GO:0046777]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	cytosol [GO:0005829]	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphoglucosamine mutase activity [GO:0008966]; carbohydrate metabolic process [GO:0005975]; protein autophosphorylation [GO:0046777]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	magnesium ion binding [GO:0000287]; phosphoglucosamine mutase activity [GO:0008966]	GO:0000287; GO:0005829; GO:0005975; GO:0006048; GO:0008966; GO:0046777							4263256;	ecj:JW3143;eco:b3176;	EG11553;	
murA	P0A749		3D-structure;Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Complete proteome;Cytoplasm;Direct protein sequencing;Peptidoglycan synthesis;Pyruvate;Reference proteome;Transferase	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	cytosol [GO:0005829]	cytosol [GO:0005829]; UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]	GO:0005829; GO:0007049; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00111, ECO:0000305}.			4262438;	ecj:JW3156;eco:b3189;	EG11358;	
yrbL	P64610		Complete proteome;Reference proteome												4261608;	ecj:JW3174;eco:b3207;	EG12807;	
elbB	P0ABU5		3D-structure;Complete proteome;Direct protein sequencing;Lyase;Reference proteome	isoprenoid biosynthetic process [GO:0008299]; positive regulation of isoprenoid metabolic process [GO:0045828]	cytosol [GO:0005829]	cytosol [GO:0005829]; lyase activity [GO:0016829]; isoprenoid biosynthetic process [GO:0008299]; positive regulation of isoprenoid metabolic process [GO:0045828]	lyase activity [GO:0016829]	GO:0005829; GO:0008299; GO:0016829; GO:0045828							4262428;	ecj:JW3176;eco:b3209;	EG11383;	
mdh	P61889		3D-structure;Complete proteome;Direct protein sequencing;NAD;Oxidoreductase;Reference proteome;Tricarboxylic acid cycle	anaerobic respiration [GO:0009061]; fermentation [GO:0006113]; glycolytic process [GO:0006096]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; membrane [GO:0016020]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; membrane [GO:0016020]; L-malate dehydrogenase activity [GO:0030060]; malate dehydrogenase activity [GO:0016615]; oxidoreductase activity [GO:0016491]; anaerobic respiration [GO:0009061]; fermentation [GO:0006113]; glycolytic process [GO:0006096]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	L-malate dehydrogenase activity [GO:0030060]; malate dehydrogenase activity [GO:0016615]; oxidoreductase activity [GO:0016491]	GO:0005737; GO:0005829; GO:0006096; GO:0006099; GO:0006108; GO:0006113; GO:0009061; GO:0016020; GO:0016491; GO:0016615; GO:0019898; GO:0030060							4260779;	ecj:JW3205;eco:b3236;	EG10576;	
mdh	Q1PI59		Coiled coil;NAD;Oxidoreductase;Tricarboxylic acid cycle	carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]		L-malate dehydrogenase activity [GO:0030060]; carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	L-malate dehydrogenase activity [GO:0030060]	GO:0005975; GO:0006099; GO:0006108; GO:0030060										
yhcO	P64616		Complete proteome;Reference proteome												4263434;	ecj:JW3208;eco:b3239;	EG12821;	
panF	P16256		Cell inner membrane;Cell membrane;Complete proteome;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Symport;Transmembrane;Transmembrane helix;Transport	pantothenate transmembrane transport [GO:0015887]; sodium ion export across plasma membrane [GO:0036376]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; pantothenate transmembrane transporter activity [GO:0015233]; sodium ion transmembrane transporter activity [GO:0015081]; symporter activity [GO:0015293]; pantothenate transmembrane transport [GO:0015887]; sodium ion export across plasma membrane [GO:0036376]	pantothenate transmembrane transporter activity [GO:0015233]; sodium ion transmembrane transporter activity [GO:0015081]; symporter activity [GO:0015293]	GO:0005886; GO:0015081; GO:0015233; GO:0015293; GO:0015887; GO:0016021; GO:0036376				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 2 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 24 42 Periplasmic. {ECO:0000255}.; TOPO_DOM 64 73 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 95 123 Periplasmic. {ECO:0000255}.; TOPO_DOM 145 161 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 183 232 Periplasmic. {ECO:0000255}.; TOPO_DOM 254 272 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 294 305 Periplasmic. {ECO:0000255}.; TOPO_DOM 327 368 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 390 391 Periplasmic. {ECO:0000255}.; TOPO_DOM 413 423 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 445 445 Periplasmic. {ECO:0000255}.; TOPO_DOM 467 483 Cytoplasmic. {ECO:0000255}.	TRANSMEM 3 23 Helical. {ECO:0000255}.; TRANSMEM 43 63 Helical. {ECO:0000255}.; TRANSMEM 74 94 Helical. {ECO:0000255}.; TRANSMEM 124 144 Helical. {ECO:0000255}.; TRANSMEM 162 182 Helical. {ECO:0000255}.; TRANSMEM 233 253 Helical. {ECO:0000255}.; TRANSMEM 273 293 Helical. {ECO:0000255}.; TRANSMEM 306 326 Helical. {ECO:0000255}.; TRANSMEM 369 389 Helical. {ECO:0000255}.; TRANSMEM 392 412 Helical. {ECO:0000255}.; TRANSMEM 424 444 Helical. {ECO:0000255}.; TRANSMEM 446 466 Helical. {ECO:0000255}.	4262451;	ecj:JW3226;eco:b3258;	EG10685;	
prmA	P0A8T1		Complete proteome;Cytoplasm;Methyltransferase;Reference proteome;Transferase	N-terminal peptidyl-alanine trimethylation [GO:0018012]; peptidyl-lysine trimethylation [GO:0018023]	cytosol [GO:0005829]	cytosol [GO:0005829]; protein-lysine N-methyltransferase activity [GO:0016279]; N-terminal peptidyl-alanine trimethylation [GO:0018012]; peptidyl-lysine trimethylation [GO:0018023]	protein-lysine N-methyltransferase activity [GO:0016279]	GO:0005829; GO:0016279; GO:0018012; GO:0018023		P0A7J7		SUBCELLULAR LOCATION: Cytoplasm.			4261866;	ecj:JW3227;eco:b3259;	EG11497;	
yhdW	P45766		Amino-acid transport;Complete proteome;Periplasm;Reference proteome;Signal;Transport	amino acid transport [GO:0006865]	periplasmic space [GO:0042597]	periplasmic space [GO:0042597]; amino acid transport [GO:0006865]		GO:0006865; GO:0042597				SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.			4263167;	ecj:JW3236;	EG12834;	
yhdX	P45767		Amino-acid transport;Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	amino acid transport [GO:0006865]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; amino acid transport [GO:0006865]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0006865; GO:0022857; GO:0043190				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.		TRANSMEM 21 41 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 92 112 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 128 148 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 180 200 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 219 239 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 256 276 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 333 353 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 363 383 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.	4260867;	ecj:JW5544;eco:b3269;	EG12835;	
mscL	P0A742		3D-structure;Cell inner membrane;Cell membrane;Complete proteome;Direct protein sequencing;Ion channel;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	ion transmembrane transport [GO:0034220]; ion transport [GO:0006811]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; mechanosensitive ion channel activity [GO:0008381]; ion transmembrane transport [GO:0034220]; ion transport [GO:0006811]	identical protein binding [GO:0042802]; mechanosensitive ion channel activity [GO:0008381]	GO:0005886; GO:0005887; GO:0006811; GO:0008381; GO:0016020; GO:0016021; GO:0034220; GO:0042802		Itself		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00115, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:23416054, ECO:0000269|PubMed:7511799, ECO:0000269|PubMed:8890153, ECO:0000269|PubMed:9632260, ECO:0000305|PubMed:21151884, ECO:0000305|PubMed:23875651}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00115, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:8890153}.	TOPO_DOM 1 16 Cytoplasmic. {ECO:0000250|UniProtKB:P9WJN5}.; TOPO_DOM 46 74 Periplasmic. {ECO:0000250|UniProtKB:P9WJN5}.; TOPO_DOM 95 136 Cytoplasmic. {ECO:0000250|UniProtKB:P9WJN5}.	TRANSMEM 17 45 Helical. {ECO:0000250|UniProtKB:P9WJN5}.; TRANSMEM 75 94 Helical. {ECO:0000250|UniProtKB:P9WJN5}.	4263415;	ecj:JW3252;eco:b3291;	EG11180;	
rplP	P0ADY7		3D-structure;Complete proteome;Direct protein sequencing;Hydroxylation;Methylation;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding;tRNA-binding	ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000027; GO:0000049; GO:0003735; GO:0006412; GO:0019843; GO:0022625								ecj:JW3275;eco:b3313;	EG10877;	
bfr	P0ABD3	METAL 18 18 Iron 1. {ECO:0000255|PROSITE-ProRule:PRU00085, ECO:0000269|PubMed:17077480}.; METAL 46 46 Iron 3. {ECO:0000255|PROSITE-ProRule:PRU00085, ECO:0000269|PubMed:17077480}.; METAL 50 50 Iron 3. {ECO:0000255|PROSITE-ProRule:PRU00085, ECO:0000269|PubMed:17077480}.; METAL 51 51 Iron 1. {ECO:0000255|PROSITE-ProRule:PRU00085, ECO:0000269|PubMed:17077480}.; METAL 51 51 Iron 2. {ECO:0000255|PROSITE-ProRule:PRU00085, ECO:0000269|PubMed:17077480}.; METAL 52 52 Iron (heme axial ligand); shared with dimeric partner. {ECO:0000255|PROSITE-ProRule:PRU00085, ECO:0000269|PubMed:17077480}.; METAL 54 54 Iron 1. {ECO:0000255|PROSITE-ProRule:PRU00085, ECO:0000269|PubMed:17077480}.; METAL 94 94 Iron 2. {ECO:0000255|PROSITE-ProRule:PRU00085, ECO:0000269|PubMed:17077480}.; METAL 127 127 Iron 1. {ECO:0000255|PROSITE-ProRule:PRU00085, ECO:0000269|PubMed:17077480}.; METAL 127 127 Iron 2. {ECO:0000255|PROSITE-ProRule:PRU00085, ECO:0000269|PubMed:17077480}.; METAL 130 130 Iron 2. {ECO:0000255|PROSITE-ProRule:PRU00085, ECO:0000269|PubMed:17077480}.	3D-structure;Complete proteome;Direct protein sequencing;Heme;Iron;Iron storage;Metal-binding;Oxidoreductase;Reference proteome	intracellular sequestering of iron ion [GO:0006880]; iron ion transport [GO:0006826]	cytosol [GO:0005829]; membrane [GO:0016020]	cytosol [GO:0005829]; membrane [GO:0016020]; ferric iron binding [GO:0008199]; ferroxidase activity [GO:0004322]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; intracellular sequestering of iron ion [GO:0006880]; iron ion transport [GO:0006826]	ferric iron binding [GO:0008199]; ferroxidase activity [GO:0004322]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]	GO:0004322; GO:0005506; GO:0005829; GO:0006826; GO:0006880; GO:0008199; GO:0016020; GO:0016491; GO:0020037; GO:0042802		Itself					4262466;	ecj:JW3298;eco:b3336;	EG10113;	
